							Drilling Data									
							Noblige-1									



DEPTH	TVD	ROP_AVG	WOB_AVG	TORQUE_AVG	TORQUE_MIN	TORQUE_MAX	BIT_RPM	FLOWIN	FLOWOUT	PUMP_AVG	MWIN	MWOUT	MTIN	MTOUT	PITTOT	TBR
mMDRT	mTVDRT	m/hr	klbs	kft.lb	kft.lb	kft.lb	rpm	gal/min	gal/min	psi	sg	sg	degC	degC	bbls	

1444	1443.98	30.7	2.9	0.7	0.3	2.2	121	622	0	643	1.03	1.03	26.9	28.7	-999.25	26147
1445	1444.98	29.1	3.1	0.8	0	2.5	121	619	0	642	1.03	1.03	26.9	28.7	-999.25	26406
1446	1445.98	37.7	2.8	0.9	0.3	2	120	616	0	667	1.03	1.03	26.9	28.7	-999.25	26609
1447	1446.98	25.8	4.6	0.7	0	2.2	120	616	0	662	1.03	1.03	26.8	28.7	-999.25	26897
1448	1447.98	22.8	2.9	0.6	0.1	2.3	120	615	0	664	1.03	1.03	26.8	28.7	-999.25	27238
1449	1448.98	28.2	3.2	0.7	0.4	1.9	120	614	0	671	1.03	1.03	26.7	28.8	-999.25	27504
1450	1449.98	33.1	4.1	0.7	0	2.4	120	613	0	658	1.03	1.03	26.6	28.7	-999.25	27720
1451	1450.98	29.9	3.2	0.7	0	2.5	120	613	0	666	1.03	1.03	26.7	28.8	-999.25	28024
1452	1451.98	22.6	4.3	0.6	0	2.2	120	611	0	659	1.03	1.03	26.6	28.8	-999.25	28364
1453	1452.98	22.1	3.4	0.8	0	2.7	119	610	0	687	1.03	1.03	26.6	28.8	-999.25	28695
1454	1453.98	23.9	3.8	0.6	0	2.3	120	610	0	679	1.03	1.03	26.6	28.7	-999.25	28974
1455	1454.98	132.1	8.4	0.9	0.5	1.8	184	1127	0	2125	1.03	1.03	26.6	28.7	-999.25	29417
1456	1455.98	206.9	4.3	1.3	1	2.1	183	1126	0	2151	1.03	1.03	26.6	28.7	-999.25	29472
1457	1456.98	307.6	1.2	1.3	1.1	2	183	1125	0	2169	1.03	1.03	26.6	28.7	-999.25	29508
1458	1457.98	206.8	4.1	1.1	0.5	1.9	183	1124	0	2146	1.03	1.03	26.6	28.7	-999.25	29566
1459	1458.98	272.7	5	1.3	1	2.1	184	1130	0	2207	1.03	1.03	26.6	28.7	-999.25	29609
1460	1459.98	350.7	1	1.6	1.5	2.3	185	1147	0	2267	1.03	1.03	26.6	28.7	-999.25	29640
1461	1460.98	552.7	6.1	1.9	1.9	2.6	185	1152	0	2270	1.03	1.03	26.6	28.7	-999.25	29658
1462	1461.98	830.3	3.4	2.5	2.6	3.5	183	1152	0	2319	1.03	1.03	26.6	28.7	-999.25	29674
1463	1462.98	769	3.4	2.1	1.9	3.5	184	1151	0	2336	1.03	1.03	26.6	28.7	-999.25	29683
1464	1463.98	418.6	14.6	1.3	1.1	2	186	1150	0	2256	1.03	1.03	26.6	28.7	-999.25	29714
